,User,Vehicle,MPG
0,CivicBob,2013 Ford C-Max,35.9 MPG
1,imlzzvq,2006 Toyota Sienna,15.1 MPG
2,rowdyred94,2015 Audi A3 Quattro,24.4 MPG
3,exit333,2016 Honda HR-V,28.4 MPG
4,gonzob,2007 Moto Guzzi Breva 750,54.0 MPG
5,snyderro,2009 Toyota Camry,27.1 MPG
6,gefinley,1999 Subaru Legacy,26.1 MPG
7,ajwhited71,2019 Indian Scout,39.4 MPG
8,daisybear,2016 Subaru Crosstrek,24.8 MPG
9,JMGentile,2019 Nissan Frontier,15.1 MPG
10,Harden,2017 Mini Cooper,33.8 MPG
11,samytoutou,2012 Ford Escape,19.6 MPG
12,Darin,2011 BMW 335d,23.8 MPG
13,Dustenabell,1999 Ford Ranger,15.5 MPG
14,orange57,2000 Chevrolet Tahoe,14.5 MPG
15,scottyo,2016 Ford Fusion,37.6 MPG
16,BlueMonteSS,1995 Alfa Romeo 164,15.9 MPG
17,ridebaja,2005 Acura TL,31.3 MPG
18,gcruse54,2018 Nissan Titan,14.0 MPG
19,TheDeafGuy,2003 Chevrolet S10,23.1 MPG
20,694doorbird,2006 Dodge Charger,18.4 MPG
21,jericho730,2018 Chevrolet Silverado 2500 HD,9.6 MPG
22,tfdcapt,2016 GMC Sierra 1500,17.0 MPG
23,maskedferret,2012 Mazda MX-5 Miata,26.5 MPG
24,Faylinameir,2015 Chevrolet Sonic,21.9 MPG
25,darryld13,2003 Honda Accord,26.8 MPG
26,Belgarion115,2002 Audi TT Quattro,26.4 MPG
27,jstephens,2014 Honda Civic,30.5 MPG
28,DanParker,2015 Nissan Frontier,16.5 MPG
29,kingpiko,2014 Chevrolet Cruze,28.7 MPG
30,MrMischief,2019 Jeep Wrangler,20.5 MPG
31,captbob,2011 Chevrolet Camaro,22.4 MPG
32,JEStroz,1998 Toyota 4Runner,10.7 MPG
33,kuanhon,2015 Honda City,32.3 MPG
34,caml224,2010 Toyota Corolla,31.7 MPG
35,MrPremium,2016 Ford Focus,20.5 MPG
36,Niro,2015 Subaru WRX STI,18.5 MPG
37,ack210,2015 Toyota RAV4,26.3 MPG
38,xliderider,2014 Toyota Corolla,37.7 MPG
39,fitzbear,1980 Volkswagen Dasher,48.0 MPG
40,mjl04010,2015 Toyota Corolla,34.3 MPG
41,mirth,2014 Toyota Prius V,38.2 MPG
42,Leprechaun93,2018 Chevrolet Camaro,17.6 MPG
43,alexmeeres,2018 Kia Niro,38.2 MPG
44,Wendal,2010 Honda VFR1200F,34.6 MPG
45,Leprechaun93,2008 Buick LaCrosse,18.5 MPG
46,S6025TAWD,2015 Chrysler 200,27.7 MPG
47,clayton4115,2010 Toyota Camry,38.0 MPG
48,ronrca,2019 Mini Cooper,36.6 MPG
49,smacdaniel,2017 Nissan Rogue,23.4 MPG
