,User,Vehicle,MPG
0,imnuts,2014 Acura RDX,52 seconds ago
1,JulianMorin,2018 Perodua MyVi,17.0 MPG
2,svfd,2014 Ram 2500,17.4 MPG
3,Sp3ctre,2015 Seat Leon,43.2 MPG
4,Redbaron57,2013 Benelli TRE K 1130 ,42.7 MPG
5,allen5924,2009 BMW 325i,16.9 MPG
6,SleepySalz,2013 Subaru XV Crosstrek,21.6 MPG
7,perskie,2008 Yamaha TDM 900,53.8 MPG
8,jtpick,2001 Toyota Avalon,22.2 MPG
9,Pikosan,2018 Yamaha Tricity 125 White,86.4 MPG
10,rweagle,2016 Ford Edge,15.6 MPG
11,superduty4x4,2008 Saturn Outlook,19.2 MPG
12,fadzlyjb,2014 Mazda 6,32.6 MPG
13,Choco,2008 Mini Cooper,27.3 MPG
14,floodedkiwi,2013 Toyota Tacoma,9 minutes ago
15,bus,2016 Ford Focus,29.8 MPG
16,bklwashere,2010 Honda Ridgeline,15.0 MPG
17,Eudardo,1990 Volkswagen Golf,50.5 MPG
18,gamegill,2017 Volkswagen Golf,24.7 MPG
19,wgmurray65,2011 Ford F-350 Super Duty,10.3 MPG
20,chozothewise,2006 Acura TL,27.7 MPG
21,jacobsjulia29,2018 Honda Pilot,23.7 MPG
22,afrugal1,2014 Toyota Camry,28.1 MPG
23,ff4life4,2017 Toyota Tundra,13.2 MPG
24,Doz,2014 Citroen C1,42.2 MPG
25,gmctech,2008 Volkswagen Jetta,20.3 MPG
26,pommm,2012 Ford Ranger,20.4 MPG
27,WMJustice,2015 Mazda 3,17 minutes ago
28,carface,2017 Kia Niro,18 minutes ago
29,DieselMikey,2017 Volkswagen Golf SportWagen,23.5 MPG
30,FastMikey,2010 Honda Element,20.6 MPG
31,namichael,2017 Jeep Renegade,27.3 MPG
32,jsward69,2010 Mitsubishi ASX3,37.3 MPG
33,Swede48,2015 Volkswagen Golf,46.8 MPG
34,cantpee,2007 Subaru Legacy,20.0 MPG
35,the6ixSportwagon,2016 Volkswagen Golf SportWagen,25.0 MPG
36,Ca5p3r,2014 Ford Fiesta,25.5 MPG
37,FamilySpoon,2005 Toyota Tacoma,14.1 MPG
38,DoubleE33,2013 GMC Yukon,3.4 MPG
39,hassu,2017 Yamaha N-Max 125,76.8 MPG
40,gimmeyarn,2012 Honda Civic,29.1 MPG
41,mmechell,2019 Volkswagen T-Cross,32.0 MPG
42,theangrybudgie,2011 Vauxhall Astra,37.6 MPG
43,Ettery,2014 Kawasaki ER-6f,42.3 MPG
44,pc1,2018 Toyota Prius Prime,97.2 MPG
45,az3579,2005 BMW 330i,21.9 MPG
46,Ready2ride,2006 Jeep Wrangler,11.5 MPG
47,Pauche,2015 Mitsubishi ASX,26.1 MPG
48,jawman,2017 Mazda CX-5,41 minutes ago
49,jimmyp,2012 Yamaha Super Tenere 1200 Z,47.1 MPG
