,User,Vehicle,MPG
35,KenB,2010 Hyundai Santa Fe,24.7 MPG
36,Rainman901,2016 Ram 1500,16.7 MPG
37,n0ferz,2006 Toyota Fortuner,13.4 MPG
38,jzmills,2019 Toyota RAV4,36.1 MPG
39,mistala99,2009 Honda Fit,31.4 MPG
40,JoeyNEON,2006 Honda Odyssey,16 minutes ago
41,IggySmalls,2004 Toyota Camry,21.7 MPG
42,Gizmo2,2015 Honda VT13CX Fury,52.6 MPG
43,sioux,2012 Toyota Tacoma,11.3 MPG
44,jollyred,2014 Ford F-150,16.0 MPG
45,AviB,2008 Acura CSX,28.6 MPG
46,lengleth,2017 Chevrolet Corvette,25.5 MPG
47,harunh,2014 Honda CR-V,22.8 MPG
48,r5white,2019 Ford Edge,302.4 MPG
49,pbnbcr,2015 Fiat 500,38.0 MPG
50,ewaboy,2012 Toyota Prius C,53.9 MPG
51,tariqhaque,2019 Toyota RAV4,27.5 MPG
52,Kentsang,2010 Honda Fit,34.7 MPG
53,dcmleung,2015 Volkswagen Golf,34.0 MPG
54,hankhi,2019 Honda Accord Hybrid,1 minute ago
55,dcmcrider,2009 BMW R1200GS,46.3 MPG
56,jacobko,2006 Honda Civic,24.6 MPG
57,jeffro636,2017 Honda Ridgeline,20.0 MPG
58,jtrainor301,2007 Honda Accord,29.4 MPG
59,al0vely,2006 Toyota Avalon,24.6 MPG
60,Hawk06,2011 Chevrolet Tahoe,14.9 MPG
61,molnarkellyl,2012 Mazda 3,30.5 MPG
62,ardevor01,2011 Jeep Patriot,20.0 MPG
63,miztahsparklez,2019 Mercedes-Benz C43 AMG,17.7 MPG
64,Bambaataa,2006 Volkswagen Jetta,43.1 MPG
65,Wicho,2013 Mercedes-Benz C250,23.8 MPG
66,Selanda,2010 Mazda CX-7,19.9 MPG
67,bigtoepfer,1992 Toyota Pickup,7 minutes ago
68,mcsierra,2006 Dodge Durango,18.2 MPG
69,CRV,2012 Honda CR-V,31.7 MPG
70,focusSVT,2014 Suzuki SV 650S,55.4 MPG
71,jmwebb,2016 Mazda CX-5,28.7 MPG
72,jegheddermark,2006 Mitsubishi Lancer,31.8 MPG
73,Mark1010,2004 Honda Civic,33.8 MPG
74,Houmaite77429,2019 Toyota Avalon,36.7 MPG
75,idecodriver,2018 Ram 1500,23.7 MPG
76,speed335d,2009 BMW 335d,28.6 MPG
77,cowabungadude,2013 BMW M3,17.0 MPG
78,vt500ft,2006 Kia Sedona,12.8 MPG
79,dogiebitt,2015 Ford Mustang,15.7 MPG
80,Thuwa,2003 Lexus IS300,17.8 MPG
81,MyVenza,2009 Toyota Venza,16.6 MPG
82,86olds307,2009 Toyota Tacoma,18.0 MPG
83,smacdaniel,2000 Toyota Tacoma,18.8 MPG
84,treehick,2009 Chevrolet HHR,32.3 MPG
85,inteller,2015 Volvo S60,18.8 MPG
86,CowboyCadillac,2010 Chevrolet HHR,22.2 MPG
87,TylerS2000,2005 Honda S2000,24.2 MPG
88,Lukestereh,1998 Land Rover Range Rover,14.6 MPG
89,bigtoepfer,2011 Toyota FJ Cruiser,21 minutes ago
90,SeeCapRun,2018 Toyota Prius,54.2 MPG
91,axelfoxx,1986 Ford F-150,16.6 MPG
92,sstangman,2006 Volkswagen Jetta,22 minutes ago
93,baconga,2017 Volkswagen GTI,32.6 MPG
94,ToNIX,2008 Subaru Forester,19.2 MPG
95,MrDJ246,2010 Ford F-150,11.5 MPG
96,gogamish,2016 KTM 390 Duke,62.1 MPG
97,cp6,2013 Honda Ridgeline,14.8 MPG
98,Vmaxrider,2004 Chevrolet Avalanche 1500,13.9 MPG
99,seadrian,2018 Hyundai Elantra,37.4 MPG
100,robmonster,2018 Jeep Wrangler JLU,20.5 MPG
101,XP,2018 Jeep Wrangler JL,9.3 MPG
102,TWong1200,2018 Volkswagen Atlas,16.2 MPG
103,SufferingIdiots,2016 Toyota 4Runner,15.2 MPG
104,dmanneke1,2010 Dodge Grand Caravan,13.3 MPG
105,delchef,2014 Jeep Grand Cherokee,15.1 MPG
106,2live4uisgain,2005 Honda Odyssey,6.5 MPG
107,vanjr,2019 Honda CR-V,27.9 MPG
108,Pooba1,2007 Honda Odyssey,18.0 MPG
109,BlackMagicVW,2018 Subaru WRX,23.4 MPG
110,NCNorsk,2018 Subaru Outback,29.5 MPG
111,CapeCod4Runner,2017 Mazda CX-5,26.5 MPG
112,AdamD93,2015 Peugeot 2008,35.4 MPG
113,neuronbob,2018 Acura TLX,20.9 MPG
114,Ahmad91,2003 Honda CRV,24.9 MPG
115,Ijustworkhere,2016 Ford Fiesta,29.6 MPG
116,Frost98,2013 Toyota Prius,47.3 MPG
117,burnt,2016 Audi Q5,10 minutes ago
118,DocWalt,2019 Mazda MX-5,21.0 MPG
119,Leadfoot115,2010 Ford Flex,18.6 MPG
120,Adriel,2008 Dodge Sprinter 3500,14.4 MPG
121,JDubz313,2013 Chevrolet Equinox,22.7 MPG
122,e40,2002 Honda Odyssey,19.9 MPG
123,quattro,2018 Toyota Tacoma,17.2 MPG
124,BDGas,2014 Ram 1500,12.8 MPG
125,JPilot77,2013 Toyota Camry,29.3 MPG
126,BDGas,2018 Chrysler Pacifica,18.0 MPG
127,Windex,2005 Volkswagen Passat,31.1 MPG
128,USMCPipeliner,2018 Ford F-150,14.4 MPG
129,Zefy,2007 Hyundai Accent,27.3 MPG
130,North_Jersey_Insight,2019 Honda Insight,56.5 MPG
131,imalittle1,2019 Subaru Ascent,16.7 MPG
132,westwingturbos,2015 Yamaha FZ-07,17 minutes ago
133,gchristi,2016 Toyota RAV4,31.0 MPG
134,Mice,2015 Chevrolet Silverado 3500 HD,18 minutes ago
135,Hestel,2012 BMW 335i xDrive,22.8 MPG
136,tmar88,2015 Honda CR-V,26.0 MPG
137,JDMHero47,2018 Acura RDX,21.1 MPG
138,Garridon,2006 Suzuki AN400 Burgman,50.8 MPG
139,yfz450,2018 Nissan Titan XD,12.3 MPG
140,shiva,1994 Jaguar XJ6,18.6 MPG
141,spitz3pk,2010 Mazda 3 Sport,28.6 MPG
142,LIHAUL,2013 Chrysler Town & Country,19.4 MPG
143,yscfl,2002 Toyota Echo,32.1 MPG
144,Rodram2002,2017 Ram 2500,16.5 MPG
145,rileyyates10,2015 Volkswagen Jetta,25.6 MPG
146,WilDavis,2009 Toyota Prius,43.2 MPG
147,wrangler17,2017 Jeep Wrangler,18.2 MPG
148,SeattleExpat,2017 Subaru Outback,18.7 MPG
