,User,Vehicle,MPG
0,ajd326,2018 Mazda 3,29.7 MPG
1,boostedrx,2019 Toyota RAV4,22.6 MPG
2,nerite,2017 Hyundai Elantra,2 minutes ago
3,mpfprocess,2016 Mazda CX-5,24.2 MPG
4,LUNATORONTO,2013 Mazda 3,23.6 MPG
5,kmclean,2017 Kia Niro,56.4 MPG
6,Lawrence97,2018 Toyota 4Runner,18.7 MPG
7,Koleos,2015 BMW 218d,35.2 MPG
8,MedicFuzzy,2004 Buick Century,24.3 MPG
9,IanB2,2015 Toyota 4Runner,14.3 MPG
10,rlh3,2018 Toyota 4Runner,17.5 MPG
11,NicGlol,2009 Honda Civic,27.8 MPG
12,sbpeugh,2002 Porsche 911,18.1 MPG
13,Frugal_Bill,2017 Kia Niro,53.4 MPG
14,bimmerd,2009 BMW 335d,35.4 MPG
15,YVRAV4,2019 Toyota RAV4,35.3 MPG
16,Limelon,2012 Volkswagen GTI,30 minutes ago
17,TerrainTracker,2018 GMC Terrain,31 minutes ago
18,vipFREAK,2004 Toyota Matrix,25.9 MPG
19,Eskimio,2013 Volkswagen Jetta,32.1 MPG
20,blkwings,2006 Mitsubishi Eclipse,14.8 MPG
21,Djis90,2008 Ford F-350 Super Duty,23.3 MPG
22,eskae3,2013 Lexus CT200h,39.0 MPG
23,Ron2,2004 Honda Accord,22.2 MPG
24,braveheart,2012 Honda CR-Z,30.3 MPG
25,uncre8tv,2015 Ford Mustang,23.8 MPG
26,Gadgetman53,2014 Chevrolet Silverado 1500,14.9 MPG
27,cp6,2013 Honda Ridgeline,17.0 MPG
28,Rex1585,2012 Ford F-150,15.9 MPG
29,Luckspeare,2019 Toyota Highlander,22.5 MPG
30,ckchanjason,2019 Honda Odyssey,1 hour ago
31,djfrog2001,2017 Honda Civic,29.7 MPG
32,srevans,2011 Toyota Corolla,32.5 MPG
33,SilverBulletCSVT,2010 Yamaha YBR125,102.0 MPG
34,QuattroSteven,2010 Audi S4,21.3 MPG
35,Bronwynm,2019 Kia Rio,29.8 MPG
36,Metallimike,2016 Ford Edge,17.5 MPG
37,02SilverEX,2012 Honda CR-V,23.4 MPG
38,deadlift406,2016 Chevrolet Silverado 1500,15.1 MPG
39,2003-SSEi,2014 GMC Sierra 1500,12.4 MPG
40,unclemonkey77,2014 Ford Explorer,18.2 MPG
41,jamesshu,2015 Volkswagen Jetta,23.7 MPG
42,YankeeVol,2017 Mitsubishi Outlander,28.4 MPG
43,LimSteel,2017 Kia Cerato,27.7 MPG
44,bmarkoco,2016 Mazda CX-9,22.0 MPG
45,TDI4ever,2014 Volkswagen Jetta,24.4 MPG
46,ezsubie,2013 Subaru Outback,1 hour ago
47,Timbits93,2018 BMW 440i xDrive Gran Coupe,20.5 MPG
48,Becca37,2015 Jeep Wrangler,18.5 MPG
49,Gadgetguy1288,2018 GMC Canyon,14.9 MPG
