User,Year,Make,Model,MPG
Plumman,2009,Pontiac,G8,15
pmfischer61,2005,Dodge,Ram,12
PMitchell08,2006,Chevrolet,Corvette,18.1
PnnyPnchr,2008,Toyota,Yaris,30.5
pobox9900,2009,Toyota,GT,23.4
PollyPrime,2017,Toyota,Prius,88.3
poopypants,2011,Toyota,Tundra,14.6
poweredbydiesel,2015,Subaru,Outback,23.1
ppointer,2009,BMW,328i,20
ptjones,2013,Ford,C-Max,53.2
punchcard,2016,Lincoln,MKX,17.4
pvwheeler,2006,Honda,Ridgeline,15.9
Q1968,2015,Ram,1500,15.3
Qrobertson,2006,Land,Rover,12.3
Quazacolt,2013,Toyota,GT86,24.3
quillaja,2004,Dodge,Sprinter,21.4
Quinten,2009,Ford,Mondeo,34.7
R0GUE,2013,Scion,FR-S,25.9
r61988,2012,Subaru,Legacy,26.1
rabid,2019,Jeep,Wranger,16.5
racer190,2017,Mazda,CX-5,25.9
rachelleva,2016,Nissan,Versa,37.2
radjn,2018,BMW,340i,18.8
Raidin,2014,Lexus,CT200h,45.2
rallygabe,2011,Mercedes-Benz,E350,29.1
Ranger98,2019,Ford,F-150,16
rapplex,2017,Honda,Civic,26.7
Raylance,2015,Mazda,6,34
RBaldry86,2019,Mini,Cooper,26.6
rbeitz,2015,Toyota,Tacoma,16.7
rcassd17,2007,Hummer,H3,14.9
rcowanjr,2013,Victory,Cross,37.4
red64chevelle,2016,Land,Rover,21.8
RedDoor,2007,Honda,Civic,25.7
reggie,2012,Mitsubishi,Outlander,20.3
Reidonly,2018,Ford,Fusion,21.3
remus,2014,Honda,Odyssey,21.1
RenegadeMegs,2015,Nissan,Versa,30.2
rerogers777,2011,Ford,Explorer,17.9
RescueRanger242,2015,Jeep,Cherokee,17.6
retiredman2006,2011,Kia,Sportage,23.1
Rexracer,2003,Toyota,Sequoia,12
Rexracer,2008,Acura,RDX,15.1
rhowell71,2012,Nissan,Altima,20.2
richbart,2006,Ford,Focus,22.2
richsholm,2017,Honda,Civic,34.9
Rick6375,1984,Pontiac,Fiero,20.4
Ricksta,2019,Volkswagen,Amarok,26
rikkikagan,2012,Ford,Escape,22.9
rileybracken,2015,Toyota,Tacoma,18.3
RixCRD,2007,Jeep,Grand,24.5
rize0909,2007,Toyota,Corolla,35.6
rjgould,2017,Skoda,Fabia,31.2
rlanning,2014,Ford,Focus,38.3
robbob144,2017,Jaguar,F-Type,17.3
robinadr,2012,Porsche,911,18
Robmdavies,2014,Citroen,C3,32.6
Robminator,1986,Volkswagen,Transporter,24.1
rockchalktexan,2006,Toyota,Tundra,9.4
RoiRaw,2017,Piaggio,New,87.4
Rojan,2016,Subaru,Outback,26.8
Ronmad,2009,Proton,Saga,18.1
rrobbiiee,2005,Dodge,Grand,16.5
rroutzong,2018,Kia,Niro,46.6
rsneddis,2013,Audi,RS5,17
Rudymoe,2019,Mazda,CX-5,27.2
rusmo,2002,Lexus,ES300,18.3
russellkletter3,2008,Toyota,Avalon,23.2
Rusty291,2008,Yamaha,FJR1300,52.5
rutkowskej,1997,Toyota,4Runner,18.3
RxZ,2014,Nissan,Titan,14.3
RyanV,1992,Toyota,Aristo,17.5
Ryephile,2020,Moto,Guzzi,56.6
RyMo,2018,Hyundai,Sonata,28.4
Safwi,2015,Honda,CB400SF,47.8
sagedon,2011,Subaru,Outback,27.1
samytoutou,2012,Ford,Escape,17.6
Sandy69,2017,Toyota,RAV4,49.8
Saru47,2018,Kia,Niro,40.7
SCBaldr,2018,Volkswagen,Golf,26
schmidt408,2018,Mazda,6,28.7
schneidly,1996,Ford,F-150,14.6
schweetie3,2019,Toyota,Corolla,37.7
sclevine,2017,Toyota,Prius,57.5
scooterscum,2013,Ford,C-Max,70.7
scottnybottny,2016,Renault,Clio,52.9
scroople,2006,Dodge,Sprinter,14.3
ScubaRob,2006,Ford,F-250,9.6
sdffdss44,2016,Toyota,4Runner,15.8
Sean_Mazda3,2015,Mazda,3,29.7
Sergio526,2013,Cadillac,ATS,25
sgjennings,2010,Volkswagen,GTI,27.5
shakeszilla,2008,Subaru,Forester,24.8
shaneguymon,2006,Honda,Pilot,17.8
Sharik,1997,Suzuki,DR650SE,44.2
Shaugi,2015,Vauxhall,Corsa,38
ShawM428,2015,Land,Rover,36.7
ShawM428,2018,SYM,Jet,98.4
ShootingShabaz,2014,Hyundai,Accent,36.6
shortbloke,2013,Audi,S5,18.1
Siami,2019,Toyota,Prius,51.7
Siegle,2008,Mazda,3,20.5
silver_lily,2019,Proton,Saga,29.2
SilverDiesel,2008,Honda,Accord,25.7
Simi,2018,Volkswagen,GTI,33.8
sixsix,2016,Honda,Accord,31.9
sjwelds,2008,Ford,Expedition,13.4
skibum1,2005,Volkswagen,Jetta,42.8
skoledin,2015,Volkswagen,Golf,27
Skydaver,2017,Subaru,Outback,27.3
skyetg,2018,Subaru,Crosstrek,26.4
skyetg,2018,Subaru,Crosstrek,23
Sleeper,2017,BMW,330i,28.4
smores114,2015,Volkswagen,Golf,43.7
smwht,2015,Ford,F-150,11.4
Snailfarts,2018,Ford,Explorer,16
snowr0,2008,Toyota,RAV4,32.4
SoccerTopper,2017,Honda,Ridgeline,18.7
softball44,2017,Cadillac,ATS,28
SoMe0nE2tAlK2,2017,Mazda,Mazda,31.7
somerset9,2007,Volkswagen,GTI,25.2
sorrono,2014,Ford,F-150,15.8
sorter,2003,BMW,X5,8.8
Soylent,2010,Toyota,Camry,28
sparky2002,2003,Ford,Focus,37
Sparky73,2016,Ram,1500,14.9
speedjunkie,2016,Porsche,Cayman,17.7
spikedscott,2012,Mini,Roadster,41.1
spil,2015,Volkswagen,Jetta,47.3
Spooner,2015,Ford,Transit,22.5
srcking,2016,Nissan,Rogue,24.1
Srhazel,2019,Subaru,Forester,24.6
stadtroller,2002,Volkswagen,EuroVan,12.2
stanfordnerd,2007,Toyota,Prius,49.7
stanware,2018,Toyota,4Runner,15.7
StealthTDI,2017,Volkswagen,GTI,31
Stebner,2001,Plymouth,Neon,25.4
Stepskij,2018,Subaru,Forester,21.4
stigprime,2010,Honda,Fit,37.4
streetshot,2017,Volkswagen,Golf,27.1
stubacca,2017,Mazda,3,29.5
Subiaur,2006,Ford,Fiesta,16.5
SubyMedic,2014,Subaru,XV,27
suhayden,2020,Honda,Odyssee,25.9
Sunamer,2011,Toyota,Corolla,22.5
Synthfreek,2006,Toyota,Corolla,39.2
T200,2009,Hyundai,Accent,52.1
TacoDaisy,2003,Toyota,Tacoma,16.8
tat_lee,2016,Perodua,Alza,28.8
Tay9969,2002,Toyota,Tacoma,13.4
tbaker,2019,Toyota,Corolla,28.3
tcronin01,2017,Mazda,3,31.1
TDI4ever,2003,Honda,Civic,18.4
teleplayer,2003,Porsche,Boxster,21
TheChino5,2018,Ford,F-150,19.7
thecurl,2019,Honda,Odyssey,19.3
thekatieberry,2017,Hyundai,Tucson,23.8
THEMANS2500,2017,Ram,3500,18.4
thitch,2018,Toyota,Camry,41.7
ThreeThirtyI,2005,BMW,330i,22.1
tienbac2005,1993,Honda,Prelude,22.1
tienbac2005,2013,Honda,Civic,32.9
tiggertiffin87,2017,Toyota,Yaris,33
tinpusher,2016,Audi,SQ5,24.9
tins4,2018,Mini,Cooper,40.9
TipsyMoose,2015,Jeep,Grand,17.3
tivoscool,2012,Kia,Optima,19.4
tlak77,2018,Volkswagen,Tiguan,29.8
tobykenobi,2018,Honda,Pilot,21.9
TomHowler,2013,Honda,Civic,32.2
Tomi,2014,Jeep,Compass,21
tomschmitz,2009,Kawasaki,KLR,43.2
tomschmitz,2009,Kawasaki,KLR,50
tomshen,2001,Hyundai,Elantra,30.3
toolie,2006,Volkswagen,Jetta,42
TouranDaddy,2008,Volkswagen,Touran,37.8
towerdriver,2013,Chevrolet,Traverse,18.9
ToyoPet,2010,Toyota,Sienna,25.9
ToyoPet,2006,Toyota,Corolla,29.8
TPDiesel,2019,Chevrolet,Cruze,38.7
travisirvine42,2016,Lexus,GX460,14.6
TreyIII,2017,Hyundai,Ioniq,52.3
Trike,2015,Volkswagen,Tiguan,19.5
Triton46,2015,Subaru,Outback,25.3
trowachin,2015,Ford,Ranger,24.4
Truckboat,2019,Jeep,Wranger,15.8
Truckboat,2019,Jeep,Wranger,16.1
turbguy,2016,GMC,Canyon,21.6
TurbineWagon,2006,Volvo,V50,30.2
TurboTomato,2012,Ford,Fiesta,36.1
Turby3Pots,2018,Honda,Accord,29.2
UBRocked,2015,Kia,Optima,26
ucfmat,2014,Honda,Civic,27.9
Uctmec,2011,Toyota,Hilux,23.8
udtrev,2013,Peugeot,3008,43.1
ultimase,2017,Toyota,Highlander,27
UltraJetRefill,2017,Toyota,Prius,60.7
ulysses06,2018,Jeep,Wrangler,23.1
und3f1n3d,2011,Volkswagen,Polo,29.7
UnlimitedMatt,2017,Hyundai,Elantra,30.7
unojoe2,2013,Volkswagen,Jetta,22.6
UnTaiMaiShu,2018,Kia,Niro,49.8
UpToTheSailboat,2005,Honda,Accord,29.9
urdrwho,2016,Volvo,V60,18.6
VariantVT,2017,Volkswagen,Golf,28.4
Vash1628,2007,Peugeot,307,31.3
veemaxx,2003,Toyota,Highlander,20.9
Vermonter,2010,Honda,ST1300,44.5
Vertebratelife,2013,Acura,RDX,20.7
VideoTerrain,2012,GMC,Terrain,23.1
vikstk,2016,Volkswagen,Golf,30
vincent18713,2013,Ford,Focus,19.9
vineeth,2016,Honda,Pilot,21.8
vkurup,2012,Mazda,5,22.4
vnutz,2016,Jeep,Wrangler,18.6
vonbraun,2017,GMC,Sierra,18.8
vonsecond,2019,GMC,Sierra,16
vortec42,2014,GMC,Sierra,15.6
wabashbdw,2006,Toyota,Prius,38.5
wagonsrulemyroad,2016,Mazda,CX-5,24.7
Wasser,2010,Volkswagen,Jetta,42.6
wavehawk,2013,Volkswagen,Golf,22.9
wayne56,2019,Ford,F-150,17.4
Waynoooo,2017,Volkswagen,Jetta,27.9
wcooley,2016,Kia,Optima,32.2
weather,2019,Volkswagen,Tiguan,30.5
westbiels,2017,GMC,Sierra,17.2
wgmurray65,2011,Ford,F-350,10.2
wgmurray65,2006,Honda,CR-V,27.3
White_Diesel,2017,Chevrolet,Corvette,14.5
Wibb,2011,Skoda,Fabia,30
willie107,2015,Honda,Accord,26.4
wimpog,2014,Toyota,Corolla,35.4
Winterspite,2017,Subaru,Outback,23.1
wje1992,2011,Ford,Escape,28.6
wookee,2004,Chevrolet,Express,15.4
woosterbooster1,2015,Seat,Leon,41.3
Wotipka,2018,Kia,Sportage,25.1
wsykes3,1998,Ford,Ranger,18.9
xaks,2015,Toyota,Tacoma,23.7
xcskiingrocks,2005,Subaru,Outback,22.5
XfullfatTim,1996,Land,Rover,20
Xhado,2017,Toyota,4Runner,18.7
yankee99,2018,Subaru,Legacy,22.7
yankees25,2015,Chevrolet,SS,16.9
yarruda,2014,Fiat,Bravo,25.1
Yasheen,2007,BMW,Z4,19.3
yelloscoot,2003,Honda,VTX1800C,28
Yoss,2004,Peugeot,206,32
yourcatfishfriend,2005,Acura,RSX,24.7
zencyl,2001,Yamaha,Roadstar,36.6
zhiggy513,2013,Ram,1500,12.4
Zinky,2014,Subaru,XV,25
zooalogic,2010,Skoda,Octavia,28.7
Zubix,2016,Chevrolet,Colorado,21.5
oriley,2017,Mazda,3,20
atoe,2011,BMW,Alpina,23
oriley,2017,Mazda,3,23
bittenhisses,2006,Volkswagen,Touareg,2
IOException,2017,Toyota,Yaris,7
bittenhisses,2006,Volkswagen,Touareg,7
IOException,2017,Toyota,Yaris,8
bittenhisses,2006,Volkswagen,Touareg,9
IOException,2017,Toyota,Yaris,14
bittenhisses,2006,Volkswagen,Touareg,15
IOException,2017,Toyota,Yaris,16
bittenhisses,2006,Volkswagen,Touareg,17
IOException,2017,Toyota,Yaris,20
firstvan,2014,Ram,ProMaster,2
firstvan,2014,Ram,ProMaster,3
firstvan,2014,Ram,ProMaster,5
firstvan,2014,Ram,ProMaster,6
XP,2018,Jeep,Wrangler,9.3
keithert,2005,Yamaha,XT225,69.5
gogamish,2016,KTM,390,62.1
2live4uisgain,2005,Honda,Odyssey,6.5
North_Jersey_Insight,2019,Honda,Insight,56.5
kmclean,2017,Kia,Niro,56.4
luzt,2003,Audi,A2,56.2
focusSVT,2014,Suzuki,SV,55.4
SeeCapRun,2018,Toyota,Prius,54.2
ewaboy,2012,Toyota,Prius,53.9
ewaboy,2012,Toyota,Prius,53.9
Frugal_Bill,2017,Kia,Niro,53.4
Gizmo2,2015,Honda,VT13CX,52.6
Garridon,2006,Suzuki,AN400,50.8
Frost98,2013,Toyota,Prius,47.3
WX9MDT,2008,Toyota,Prius,46.8
dcmcrider,2009,BMW,R1200GS,46.3
WilDavis,2009,Toyota,Prius,43.2
Bambaataa,2006,Volkswagen,Jetta,43.1
anoopasok,2018,Triumph,Bonneville,41.1
eskae3,2013,Lexus,CT200h,39
pbnbcr,2015,Fiat,500,38
seadrian,2018,Hyundai,Elantra,37.4
Houmaite77429,2019,Toyota,Avalon,36.7
skyninja,2015,Toyota,Camry,36.1
jzmills,2019,Toyota,RAV4,36.1
geoibarfuel,2017,Volkswagen,GTI,35.9
aaronchem,2019,Honda,Civic,35.9
bimmerd,2009,BMW,335d,35.4
AdamD93,2015,Peugeot,2008,35.4
YVRAV4,2019,Toyota,RAV4,35.3
Koleos,2015,BMW,218d,35.2
Kentsang,2010,Honda,Fit,34.7
dcmleung,2015,Volkswagen,Golf,34
Mark1010,2004,Honda,Civic,33.8
baconga,2017,Volkswagen,GTI,32.6
srevans,2011,Toyota,Corolla,32.5
treehick,2009,Chevrolet,HHR,32.3
Eskimio,2013,Volkswagen,Jetta,32.1
yscfl,2002,Toyota,Echo,32.1
jegheddermark,2006,Mitsubishi,Lancer,31.8
CRV,2012,Honda,CR-V,31.7
mistala99,2009,Honda,Fit,31.4
Windex,2005,Volkswagen,Passat,31.1
gchristi,2016,Toyota,RAV4,31
r5white,2019,Ford,Edge,302.4
molnarkellyl,2012,Mazda,3,30.5
antopc,2014,Honda,Accord,30.4
braveheart,2012,Honda,CR-Z,30.3
Bronwynm,2019,Kia,Rio,29.8
ajd326,2018,Mazda,3,29.7
djfrog2001,2017,Honda,Civic,29.7
Ijustworkhere,2016,Ford,Fiesta,29.6
NCNorsk,2018,Subaru,Outback,29.5
jtrainor301,2007,Honda,Accord,29.4
JPilot77,2013,Toyota,Camry,29.3
dougvickie2444,2018,Ford,EcoSport,29.2
goetylsd,2018,Chevrolet,Impala,28.8
jmwebb,2016,Mazda,CX-5,28.7
AviB,2008,Acura,CSX,28.6
speed335d,2009,BMW,335d,28.6
spitz3pk,2010,Mazda,3,28.6
YankeeVol,2017,Mitsubishi,Outlander,28.4
vanjr,2019,Honda,CR-V,27.9
NicGlol,2009,Honda,Civic,27.8
LimSteel,2017,Kia,Cerato,27.7
tariqhaque,2019,Toyota,RAV4,27.5
Zefy,2007,Hyundai,Accent,27.3
CapeCod4Runner,2017,Mazda,CX-5,26.5
tmar88,2015,Honda,CR-V,26
vipFREAK,2004,Toyota,Matrix,25.9
rileyyates10,2015,Volkswagen,Jetta,25.6
lengleth,2017,Chevrolet,Corvette,25.5
Cking3,2011,Toyota,Avalon,25
Ahmad91,2003,Honda,CRV,24.9
KenB,2010,Hyundai,Santa,24.7
jacobko,2006,Honda,Civic,24.6
al0vely,2006,Toyota,Avalon,24.6
KYEO,2003,Toyota,Camry,24.4
TDI4ever,2014,Volkswagen,Jetta,24.4
ryknoll3,2010,Volkswagen,Golf,24.3
MedicFuzzy,2004,Buick,Century,24.3
mpfprocess,2016,Mazda,CX-5,24.2
TylerS2000,2005,Honda,S2000,24.2
uncre8tv,2015,Ford,Mustang,23.8
Wicho,2013,Mercedes-Benz,C250,23.8
jamesshu,2015,Volkswagen,Jetta,23.7
idecodriver,2018,Ram,1500,23.7
LUNATORONTO,2013,Mazda,3,23.6
02SilverEX,2012,Honda,CR-V,23.4
BlackMagicVW,2018,Subaru,WRX,23.4
Djis90,2008,Ford,F-350,23.3
geoibarfuel,2004,Honda,Pilot,23.1
harunh,2014,Honda,CR-V,22.8
Hestel,2012,BMW,335i,22.8
JDubz313,2013,Chevrolet,Equinox,22.7
iancooper,2017,Honda,Ridgeline,22.6
boostedrx,2019,Toyota,RAV4,22.6
Luckspeare,2019,Toyota,Highlander,22.5
mynicknameonfuelly,2015,Jeep,Patriot,22.4
Ron2,2004,Honda,Accord,22.2
CowboyCadillac,2010,Chevrolet,HHR,22.2
bmarkoco,2016,Mazda,CX-9,22
IggySmalls,2004,Toyota,Camry,21.7
QuattroSteven,2010,Audi,S4,21.3
JDMHero47,2018,Acura,RDX,21.1
DocWalt,2019,Mazda,MX-5,21
neuronbob,2018,Acura,TLX,20.9
Timbits93,2018,BMW,440i,20.5
robmonster,2018,Jeep,Wrangler,20.5
jeffro636,2017,Honda,Ridgeline,20
ardevor01,2011,Jeep,Patriot,20
Selanda,2010,Mazda,CX-7,19.9
e40,2002,Honda,Odyssey,19.9
LIHAUL,2013,Chrysler,Town,19.4
ToNIX,2008,Subaru,Forester,19.2
FrayAdjacent,2017,Toyota,Tacoma,19
srclgross,2015,Ford,F-150,19
staze,2017,Chevrolet,Volt,183.7
smacdaniel,2000,Toyota,Tacoma,18.8
inteller,2015,Volvo,S60,18.8
Lawrence97,2018,Toyota,4Runner,18.7
SeattleExpat,2017,Subaru,Outback,18.7
Leadfoot115,2010,Ford,Flex,18.6
shiva,1994,Jaguar,XJ6,18.6
Becca37,2015,Jeep,Wrangler,18.5
unclemonkey77,2014,Ford,Explorer,18.2
mcsierra,2006,Dodge,Durango,18.2
wrangler17,2017,Jeep,Wrangler,18.2
sbpeugh,2002,Porsche,911,18.1
86olds307,2009,Toyota,Tacoma,18
Pooba1,2007,Honda,Odyssey,18
BDGas,2018,Chrysler,Pacifica,18
Emsguy,2014,Ram,1500,17.8
Thuwa,2003,Lexus,IS300,17.8
miztahsparklez,2019,Mercedes-Benz,C43,17.7
rlh3,2018,Toyota,4Runner,17.5
Metallimike,2016,Ford,Edge,17.5
sda3,2016,Ford,Mustang,17.4
quattro,2018,Toyota,Tacoma,17.2
spidertri,2013,Jeep,Grand,17
cp6,2013,Honda,Ridgeline,17
cowabungadude,2013,BMW,M3,17
Rainman901,2016,Ram,1500,16.7
imalittle1,2019,Subaru,Ascent,16.7
Porscheamateur,2012,Jeep,Wrangler,16.6
MyVenza,2009,Toyota,Venza,16.6
axelfoxx,1986,Ford,F-150,16.6
Rodram2002,2017,Ram,2500,16.5
tpvaughn3,2005,Ford,Ranger,16.2
MrMikee,2015,Ford,F-150,16.2
TWong1200,2018,Volkswagen,Atlas,16.2
Bisklimpkit,2011,Ford,F-150,16
jollyred,2014,Ford,F-150,16
94VIRAGO1100,2006,Dodge,Grand,15.9
Rex1585,2012,Ford,F-150,15.9
dogiebitt,2015,Ford,Mustang,15.7
SufferingIdiots,2016,Toyota,4Runner,15.2
deadlift406,2016,Chevrolet,Silverado,15.1
delchef,2014,Jeep,Grand,15.1
Gadgetman53,2014,Chevrolet,Silverado,14.9
Gadgetguy1288,2018,GMC,Canyon,14.9
Hawk06,2011,Chevrolet,Tahoe,14.9
blkwings,2006,Mitsubishi,Eclipse,14.8
cp6,2013,Honda,Ridgeline,14.8
Lukestereh,1998,Land,Rover,14.6
Adriel,2008,Dodge,Sprinter,14.4
USMCPipeliner,2018,Ford,F-150,14.4
IanB2,2015,Toyota,4Runner,14.3
Vmaxrider,2004,Chevrolet,Avalanche,13.9
n0ferz,2006,Toyota,Fortuner,13.4
dmanneke1,2010,Dodge,Grand,13.3
NoSubs,2011,Subaru,Impreza,13.2
vt500ft,2006,Kia,Sedona,12.8
BDGas,2014,Ram,1500,12.8
2003-SSEi,2014,GMC,Sierra,12.4
yfz450,2018,Nissan,Titan,12.3
ronbo2004,2004,Ford,F-150,11.7
MrDJ246,2010,Ford,F-150,11.5
sioux,2012,Toyota,Tacoma,11.3
SilverBulletCSVT,2010,Yamaha,YBR125,102
