,User,Vehicle,MPG
0,antopc,2014 Honda Accord,30.4 MPG
1,staze,2017 Chevrolet Volt,183.7 MPG
2,tpvaughn3,2005 Ford Ranger,16.2 MPG
3,FrayAdjacent,2017 Toyota Tacoma,19.0 MPG
4,geoibarfuel,2017 Volkswagen GTI,35.9 MPG
5,Cking3,2011 Toyota Avalon,25.0 MPG
6,ascreech,2015 Audi S3,2 minutes ago
7,skyninja,2015 Toyota Camry,36.1 MPG
8,Bisklimpkit,2011 Ford F-150,16.0 MPG
9,Emsguy,2014 Ram 1500,17.8 MPG
10,geoibarfuel,2004 Honda Pilot,23.1 MPG
11,NoSubs,2011 Subaru Impreza,13.2 MPG
12,anoopasok,2018 Triumph Bonneville Speedmaster,41.1 MPG
13,MrMikee,2015 Ford F-150,16.2 MPG
14,WX9MDT,2008 Toyota Prius,46.8 MPG
15,Porscheamateur,2012 Jeep Wrangler,16.6 MPG
16,dougvickie2444,2018 Ford EcoSport,29.2 MPG
17,sda3,2016 Ford Mustang,17.4 MPG
18,BlueberryHonda,2014 Honda Accord,8 minutes ago
19,iancooper,2017 Honda Ridgeline,22.6 MPG
20,srclgross,2015 Ford F-150,19.0 MPG
21,aaronchem,2019 Honda Civic,35.9 MPG
22,primaltone,2011 Audi S4,9 minutes ago
23,ryknoll3,2010 Volkswagen Golf,24.3 MPG
24,tpvaughn3,2017 Kawasaki KLE650 Versys ABS LT,10 minutes ago
25,mynicknameonfuelly,2015 Jeep Patriot,22.4 MPG
26,kechow,2013 Honda Fit,10 minutes ago
27,luzt,2003 Audi A2,56.2 MPG
28,KYEO,2003 Toyota Camry,24.4 MPG
29,ronbo2004,2004 Ford F-150,11.7 MPG
30,94VIRAGO1100,2006 Dodge Grand Caravan,15.9 MPG
31,spidertri,2013 Jeep Grand Cherokee,17.0 MPG
32,goetylsd,2018 Chevrolet Impala,28.8 MPG
33,allica70,2002 Mazda B3000,14 minutes ago
34,keithert,2005 Yamaha XT225,69.5 MPG
35,KenB,2010 Hyundai Santa Fe,24.7 MPG
36,Rainman901,2016 Ram 1500,16.7 MPG
37,n0ferz,2006 Toyota Fortuner,13.4 MPG
38,jzmills,2019 Toyota RAV4,36.1 MPG
39,mistala99,2009 Honda Fit,31.4 MPG
40,JoeyNEON,2006 Honda Odyssey,16 minutes ago
41,IggySmalls,2004 Toyota Camry,21.7 MPG
42,Gizmo2,2015 Honda VT13CX Fury,52.6 MPG
43,sioux,2012 Toyota Tacoma,11.3 MPG
44,jollyred,2014 Ford F-150,16.0 MPG
45,AviB,2008 Acura CSX,28.6 MPG
46,lengleth,2017 Chevrolet Corvette,25.5 MPG
47,harunh,2014 Honda CR-V,22.8 MPG
48,r5white,2019 Ford Edge,302.4 MPG
49,pbnbcr,2015 Fiat 500,38.0 MPG
