,User,Vehicle,MPG
0,PressCorpse,2015 Jeep Patriot,24.0 MPG
1,Faiz87,2004 Skoda Fabia,39.4 MPG
2,Calbar,2016 Subaru Legacy,25.5 MPG
3,orionmoo,2015 Audi S3,29.0 MPG
4,iooi,2018 Kia Picanto,36.1 MPG
5,aeromicke,2014 Volvo XC70,30.7 MPG
6,bmetinCO,2017 Subaru Outback,23.3 MPG
7,Rodger1951,2015 Ford Explorer,18.9 MPG
8,mig8769,2019 Yamaha MT-09,39.0 MPG
9,Karstgeo72,2018 Volkswagen Golf SportWagen,19.4 MPG
10,Will_Hallam,2010 Volkswagen Polo,36.1 MPG
11,nightarmor13,2018 Nissan Titan,14.6 MPG
12,mig8769,2014 Subaru BRZ,28.3 MPG
13,fritz641,1984 Volkswagen Vanagon,23.4 MPG
14,Youart,2007 Chrysler 300,14.1 MPG
15,archibald2,2016 Audi SQ5,17.2 MPG
16,2014andahalfLE,2014 Toyota Camry,41.8 MPG
17,firecadet613,2019 Ram 1500,12.1 MPG
18,wgmurray65,2006 Honda CR-V,32.1 MPG
19,CaptIrk,2015 Subaru Outback,21.0 MPG
20,AtlasFBG2,2013 Chevrolet Impala,28.7 MPG
21,Cdyee,2017 Honda Civic,34.4 MPG
22,Jim70,2013 Volvo V70,35.2 MPG
23,rambalu80,2016 BMW 340i,20.8 MPG
24,imnuts,2014 Acura RDX,17 minutes ago
25,JulianMorin,2018 Perodua MyVi,17.0 MPG
26,svfd,2014 Ram 2500,17.4 MPG
27,Sp3ctre,2015 Seat Leon,43.2 MPG
28,Redbaron57,2013 Benelli TRE K 1130 ,42.7 MPG
29,allen5924,2009 BMW 325i,16.9 MPG
30,SleepySalz,2013 Subaru XV Crosstrek,21.6 MPG
31,perskie,2008 Yamaha TDM 900,53.8 MPG
32,jtpick,2001 Toyota Avalon,22.2 MPG
33,Pikosan,2018 Yamaha Tricity 125 White,86.4 MPG
34,rweagle,2016 Ford Edge,15.6 MPG
35,superduty4x4,2008 Saturn Outlook,19.2 MPG
36,fadzlyjb,2014 Mazda 6,32.6 MPG
37,Choco,2008 Mini Cooper,27.3 MPG
38,floodedkiwi,2013 Toyota Tacoma,26 minutes ago
39,bus,2016 Ford Focus,29.8 MPG
40,bklwashere,2010 Honda Ridgeline,15.0 MPG
41,Eudardo,1990 Volkswagen Golf,50.5 MPG
42,gamegill,2017 Volkswagen Golf,24.7 MPG
43,wgmurray65,2011 Ford F-350 Super Duty,10.3 MPG
44,chozothewise,2006 Acura TL,27.7 MPG
45,jacobsjulia29,2018 Honda Pilot,23.7 MPG
46,afrugal1,2014 Toyota Camry,28.1 MPG
47,ff4life4,2017 Toyota Tundra,13.2 MPG
48,Doz,2014 Citroen C1,42.2 MPG
49,gmctech,2008 Volkswagen Jetta,20.3 MPG
