,,Regular,Mid-Grade,Premium,Diesel,E85
1,Current Avg.,2.612,2.952,3.213,3.007,2.313
2,Yesterday Avg.,2.608,2.953,3.213,3.009,2.307
3,Week Ago Avg.,2.602,2.946,3.207,3.001,2.297
4,Month Ago Avg.,2.658,3.002,3.259,3.007,2.34
5,Year Ago Avg.,2.755,3.073,3.326,3.27,2.359
